EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
473054,STOKES CO.,KING,09/21/2013,1658,Tornado, ,EF1,0,0,85000,0,NC,EST-5, ,78696,C,169,RNK,0,0,State Official, ,0.53,90,1,SSW,1,S,KING,09/21/2013,1700,36.2626,-80.3776,36.2666,-80.3696,"A tornado touched down was just south of Newsome Road, crossed Highway 52 and lifted near Campbell Drive. Along the storm���s path, the sun room on a home was destroyed.  One barn was destroyed and one outbuilding was destroyed. Several trees were snapped and uprooted.","A cold front moving across the region triggered widespread rain showers ahead of the boundary, with little to no lightning observed.  Early morning showers and cloud cover strictly limited heating, resulting in low CAPE values.  The main line of convection passed across the mountains during early afternoon, triggering winds in the 25 to 35 mph range per weather spotter reports.  However, as the line passed east of the Blue Ridge, it encountered a stronger low level jet and higher shear and helicity, which helped the convection to rapidly intensify.  Strong wind reports remained spotty along the main line, however several subtle couplets of rotation were noted on radar along the line in northern North Carolina and southern Virginia. One of these couplets produced a brief tornado in Stokes County.",1
477532,BRUNSWICK CO.,HOLDEN BEACH,09/22/2013,339,Tornado, ,EF0,0,0,10000,0,NC,EST-5, ,79621,C,19,ILM,0,0,NWS Storm Survey, ,0.21,20,1,NW,1,NNW,HOLDEN BEACH,09/22/2013,340,33.9298,-78.2779,33.9322,-78.2758,"A brief tornado, with winds up to 65 mph, touched down near Lafayette Street north of Holden Beach Road SW. The tornado uprooted a tree and knocked down large limbs before crossing McLamb Avenue SW. Snapped trees fell onto a home on the east side of the road. On the west side of the road, a screened in porch was lifted from its foundation and two pump houses were thrown into a home. The tornado proceeded across Lakesedge Drive SW where it knocked down a couple trees and lifted over a pond on the north side of the road.","A shower moved onshore and produced a brief tornado during the early morning hours.",2
480007,CARTERET CO.,CAMP GLENN,11/26/2013,2215,Tornado, ,EF2,0,2,2500000,0,NC,EST-5, ,80015,C,31,MHX,0,0,NWS Storm Survey, ,0.36,200,2,SW,2,SW,CAMP GLENN,11/26/2013,2216,34.697,-76.774,34.702,-76.772,"A waterspout moved ashore on Bogue banks and produced a 200 yard wide EF2 tornado with winds estimated at 125 mph. The tornado did significant damage at the Ocean Sands condominiums ripping the roof off several units. Two people suffered minor injuries and were treated and released from the local hospital. The tornado then tracked rapidly across Bogue Banks causing EF1 damage with numerous trees snapped with minor to moderate damage to several structures. The tornado then apparently moved back over water on Bogue Sound. Total damage on Bogue Banks was estimated at 2.5 million dollars.","Low pressure lifted northeast across central North Carolina during the evening of November 26th. Very strong southerly winds east of the low led to warm and slightly unstable conditions over eastern North Carolina. Bands of heavy showers and isolated thunderstorms lifted rapidly northeast across the region from late afternoon through the overnight hours. Isolated severed weather developed with some of the showers and storms including one tornado that impacted Carteret county.",3
480008,CARTERET CO.,CAMP GLENN,11/26/2013,2217,Tornado, ,EF1,0,0,4000000,0,NC,EST-5, ,80015,C,31,MHX,0,0,NWS Storm Survey, ,3.22,200,0,WNW,1,N,CRAB PT VLG,11/26/2013,2220,34.7224,-76.757,34.762,-76.7271,"A waterspout moved ashore off Bogue Sound and produced a 200 yard wide EF1 tornado that tracked rapidly northeast across parts of Morehead City. The tornado first impacted the Carteret Community College with moderate structural damage to several buildings and numerous trees damaged. The tornado then lifted northeast producing minor damage to the Carteret General Hospital with several vehicles in the parking lot damaged. The tornado continued to track rapidly northeast across residential areas snapping or uprooting numerous trees, many that fell on homes producing minor to moderate damage. The tornado caused damage at Crab Point north of Morehead City before apparently moving over the Newport River and dissipating. There were no injuries reported from this tornado and damage was estimated at 4 million dollars.","Low pressure lifted northeast across central North Carolina during the evening of November 26th. Very strong southerly winds east of the low led to warm and slightly unstable conditions over eastern North Carolina. Bands of heavy showers and isolated thunderstorms lifted rapidly northeast across the region from late afternoon through the overnight hours. Isolated severed weather developed with some of the showers and storms including one tornado that impacted Carteret county.",4
500978,ROBESON CO.,RED BANKS,02/21/2014,1215,Tornado, ,EF0,0,0,9000,0,NC,EST-5, ,83059,C,155,ILM,0,0,NWS Storm Survey, ,0.49,25,3,SW,3,SW,RED BANKS,02/21/2014,1217,34.6697,-79.2903,34.6759,-79.286,"A National Weather Service Storm Survey Team concluded an EF-0 tornado with winds estimated to 70 mph touched down south of Elrod Road and west of O'Quinn Road and then moved north-northeast across a rural area. The tornado caused damage to a large shed that rolled over and it caused minor damage to a single wide home on the south side of Elrod Road. The tornado moved across Elrod Road and caused damage to three homes on the north side of the roadway. It lifted the porch off one of the homes and knocked down or snapped several trees as it moved into the woods behind the homes. The tornado lifted while in the woods on the north side of Elrod Road. The path length was just about a half mile and the maximum path width was 25 yards.","A line of showers and thunderstorms moved into the area along a strong cold front early in the afternoon. The National Weather Service in Wilmington, North Carolina surveyed damage across Robeson County and determined there were two brief and distinct tornadoes.",5
503469,ROBESON CO.,ROZIERS,02/21/2014,1238,Tornado, ,EF0,0,0,11000,0,NC,EST-5, ,83059,C,155,ILM,0,0,NWS Storm Survey, ,0.16,35,1,NNW,1,W,ST PAULS,02/21/2014,1240,34.7993,-78.9753,34.8014,-78.9741,"A National Weather Service Storm Survey Team concluded an EF-0 tornado with winds estimated to 85 mph formed near the intersection of West Slyva Street and South Dean Street and moved north-northeast causing damage between South Dean Street and South Butler Street. Minor to moderate damage to homes in the vicinity of 3rd Avenue South was surveyed. Most of the homes suffered roof damage, but there were some lifted porches as well. Multiple sheds were destroyed. One large shed was lofted into a large oak tree about 40 yards from its original position. A large travel trailer was blown onto its side. Multiple trees were snapped and a couple of unanchored buildings were pushed off their foundation. The path length was 0.16 miles and the maximum path width was 35 yards.","A line of showers and thunderstorms moved into the area along a strong cold front early in the afternoon. The National Weather Service in Wilmington, North Carolina surveyed damage across Robeson County and determined there were two brief and distinct tornadoes.",6
501491,WAYNE CO.,DOBBERSVILLE,02/21/2014,1326,Tornado, ,EF1,0,0,25000,0,NC,EST-5, ,83121,C,191,RAH,0,0,NWS Storm Survey, ,0.83,175,3,N,3,SSW,COX MILL,02/21/2014,1330,35.277,-78.258,35.287,-78.25,"Damage at the beginning and end of the damage path consisted of numerous snapped and downed trees, consistent with wind speeds of 80 mph or EF-0 damage on the Enhanced Fujita scale.  However, near the middle of the path, a very localized patch of extreme damage was found which consisted of a single-wide mobile home that was completely destroyed and disintegrated, with its steel frame displaced about 35 yards downstream. In addition, at least 2 additional outbuildings were leveled and several others had substantial roof damage. This damage was consistent with wind speeds around 110 mph, making it an upper-end EF-1 on the Enhanced Fujita tornado rating scale.","An extensive QLCS developed ahead of a strong cold front. The QLCS raced eastward across the forecast area during the early to mid-morning hours on the 21st, exiting the coastal plain by the afternoon. The line produced scattered wind damage along the way, along with a brief EF-1 tornado touchdown near Grantham in Wayne County.",7
506127,WAKE CO.,SOUTH RALEIGH ARPT,03/29/2014,1957,Tornado, ,EF0,0,0,8000,0,NC,EST-5, ,83845,C,183,RAH,0,0,NWS Storm Survey, ,0.18,145,2,SSE,2,SSE,SOUTH RALEIGH ARPT,03/29/2014,1958,35.591,-78.6905,35.5933,-78.6892,"An EF0 tornado touched down and was on the ground for approximately one minute near the intersection of Old Stage Road and North Carolina Highway 42. Several trees were reported down in this area and a home sustained substantial shingle damage. An outbuilding was also picked up, moved 50 yards and destroyed in this location as well.","An isolated supercell developed ahead of a cold front as it moved through Central North Carolina in association with deepening low pressure system, as it tracked from the Mississippi River Valley northeast toward New England. The supercell produced multiple, but brief, weak tornado touchdowns.",8
506130,WAKE CO.,WILLIAMS XRDS,03/29/2014,2008,Tornado, ,EF0,0,0,5000,0,NC,EST-5, ,83845,C,183,RAH,0,0,NWS Storm Survey, ,0.12,75,2,E,2,E,WILLIAMS XRDS,03/29/2014,2009,35.6539,-78.6334,35.6548,-78.6317,"A weak EF0 tornado occurred shortly after 9 pm at the intersection of Trebor Drive and Cross Pointe Lane. A residence sustained partial roof damage, a couple of windows were broken, and a couple of trees were blown down.","An isolated supercell developed ahead of a cold front as it moved through Central North Carolina in association with deepening low pressure system, as it tracked from the Mississippi River Valley northeast toward New England. The supercell produced multiple, but brief, weak tornado touchdowns.",9
505501,BEAUFORT CO.,PANTEGO,04/07/2014,1449,Tornado, ,EF2,0,5,1000000,0,NC,EST-5, ,83749,C,13,MHX,0,0,NWS Storm Survey, ,4.7,300,1,SE,4,WNW,LEECHVILLE,04/07/2014,1456,35.57,-76.66,35.59,-76.58,"The tornado initially touched down near Highway 264 north of Belhaven. It began as an EF1 and tracked east-northeast toward Beech Ridge Road. Along Highway 264 there was damage to a few structures with numerous trees downed or snapped. One vehicle was lifted and tossed about 50 yards with 2 injuries. ||The tornado strengthened to a high end EF2 with winds estimated at 130 mph as it moved through the Beech Ridge Road area near Pantego. Several homes, out buildings and sheds were damaged or destroyed. A double wide mobile home was wiped off its foundation and destroyed despite being strapped down. Large numbers of trees were snapped, many at their base. ||The tornado then continued to produce EF2 damage on Ross Farm. A roof was blown off a house, an out building destroyed and large farm equipment moved. The tornado then dissipated in a field.","A warm front lifted north through eastern North Carolina during the afternoon of April 7th 2014. In the wake of the front warm and unstable air spread north across the area. A small cluster of thunderstorms developed over eastern Beaufort County with one storm becoming severe and eventually producing a series of tornadoes. An EF2 tornado impacted parts of Beaufort County with an E1 over mainland Hyde County. There were no fatalities and 5 injuries associated with the tornadoes.",10
