EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10089839,CHEROKEE CO., ,04/02/1974,1,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,39, ,0,0, , ,16.8,33,0, ,0, , ,04/02/1974,1,35.07,-84.03,35.22,-83.80,"","",1
10089840,GASTON CO., ,04/02/1974,153,Tornado,0,F1,1,10,250000,0,NC,CST, , ,C,71, ,0,0, , ,9.7,100,0, ,0, , ,04/02/1974,153,35.35,-81.33,35.38,-81.17,"","",2
10089842,BURKE CO., ,04/03/1974,700,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,23, ,0,0, , ,6.9,33,0, ,0, , ,04/03/1974,700,35.75,-81.70,35.78,-81.58,"","",3
10089843,TRANSYLVANIA CO., ,04/03/1974,1500,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,175, ,0,0, , ,1,30,0, ,0, , ,04/03/1974,1500,35.12,-82.83, , ,"","",4
10089844,CHEROKEE CO., ,04/03/1974,1600,Tornado,0,F1,0,0,0,0,NC,CST, , ,C,39, ,0,0, , ,0,33,0, ,0, , ,04/03/1974,1600,35.05,-83.95, , ,"","",5
10089848,GRAHAM CO., ,04/03/1974,1805,Tornado,0,F2,2,11,250000,0,NC,CST, , ,C,75, ,0,0, , ,10.5,33,0, ,0, , ,04/03/1974,1805,35.27,-83.98,35.33,-83.82,"","",6
10089849,SWAIN CO., ,04/03/1974,1815,Tornado,0,F2,0,0,2500,0,NC,CST, , ,C,173, ,0,0, , ,13.6,33,0, ,0, , ,04/03/1974,1815,35.33,-83.82,35.38,-83.58,"","",7
10089850,CHEROKEE CO., ,04/03/1974,1925,Tornado,0,F4,4,26,25000000,0,NC,CST, , ,C,39, ,0,0, , ,18.9,33,0, ,0, , ,04/03/1974,1925,34.97,-84.22,35.15,-83.95,"","",8
10089852,CHEROKEE CO., ,04/04/1974,700,Tornado,0,F0,0,0,25000,0,NC,CST, , ,C,39, ,0,0, , ,9.7,33,0, ,0, , ,04/04/1974,700,35.03,-83.97,35.17,-83.92,"","",9
10089853,CALDWELL CO., ,04/04/1974,700,Tornado,0,F2,0,0,250000,0,NC,CST, , ,C,27, ,0,0, , ,5.7,33,0, ,0, , ,04/04/1974,700,35.82,-81.53,35.87,-81.45,"","",10
10089854,JONES CO., ,04/13/1974,1230,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,103, ,0,0, , ,5.6,33,0, ,0, , ,04/13/1974,1230,35.17,-77.50,35.20,-77.42,"","",11
10089859,CARTERET CO., ,05/26/1974,2310,Tornado,0,F1,0,2,25000,0,NC,CST, , ,C,31, ,0,0, , ,1,40,0, ,0, , ,05/26/1974,2310,34.78,-76.73, , ,"","",12
10089860,CARTERET CO., ,05/26/1974,2330,Tornado,0,F1,0,0,2500,0,NC,CST, , ,C,31, ,0,0, , ,.5,80,0, ,0, , ,05/26/1974,2330,34.80,-76.42, , ,"","",13
10089861,CARTERET CO., ,05/26/1974,2332,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,31, ,0,0, , ,1,123,0, ,0, , ,05/26/1974,2332,34.93,-76.30, , ,"","",14
10089862,CARTERET CO., ,05/27/1974,1,Tornado,0,F2,0,0,25000,0,NC,CST, , ,C,31, ,0,0, , ,2.8,350,0, ,0, , ,05/27/1974,1,34.93,-76.28, , ,"","",15
10090924,DUPLIN CO., ,06/01/1974,1355,Tornado,0,F2,0,1,2500000,0,NC,CST, , ,C,61, ,0,0, , ,0,33,0, ,0, , ,06/01/1974,1355,34.93,-77.78, , ,"","",16
10090933,DUPLIN CO., ,06/01/1974,1845,Tornado,0,F2,0,0,250000,0,NC,CST, , ,C,61, ,0,0, , ,0,33,0, ,0, , ,06/01/1974,1845,34.82,-78.05, , ,"","",17
10090934,WILKES CO., ,06/01/1974,2045,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,193, ,0,0, , ,1,33,0, ,0, , ,06/01/1974,2045,36.13,-81.05, , ,"","",18
10090964,CUMBERLAND CO., ,08/02/1974,1100,Tornado,0,F0,0,0,25000,0,NC,CST, , ,C,51, ,0,0, , ,0,33,0, ,0, , ,08/02/1974,1100,35.17,-79.05, , ,"","",19
10090965,LINCOLN CO., ,08/03/1974,1630,Tornado,0,F0,0,0,2500,0,NC,CST, , ,C,109, ,0,0, , ,0,33,0, ,0, , ,08/03/1974,1630,35.52,-81.25, , ,"","",20
10090967,COLUMBUS CO., ,09/06/1974,1330,Tornado,0,F1,0,2,250000,0,NC,CST, , ,C,47, ,0,0, , ,0,33,0, ,0, , ,09/06/1974,1330,34.38,-78.77, , ,"","",21
10090969,CLAY CO., ,12/25/1974,355,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,43, ,0,0, , ,7.7,17,0, ,0, , ,12/25/1974,355,35.03,-83.80,35.05,-83.67,"","",22
10090970,CLAY CO., ,12/25/1974,420,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,43, ,0,0, , ,3.3,17,0, ,0, , ,12/25/1974,420,35.05,-83.67,35.07,-83.62,"","",23
10090971,TRANSYLVANIA CO., ,01/10/1975,2030,Tornado,0,F2,0,0,25000,0,NC,CST, , ,C,175, ,0,0, , ,4.3,20,0, ,0, , ,01/10/1975,2030,35.15,-82.83,35.20,-82.80,"","",24
10090981,ROBESON CO., ,02/16/1975,1530,Tornado,0,F1,0,1,25000,0,NC,CST, , ,C,155, ,0,0, , ,.1,77,0, ,0, , ,02/16/1975,1530,34.87,-79.00, , ,"","",25
10090983,JACKSON CO., ,03/12/1975,1430,Tornado,0,F0,0,0,250,0,NC,CST, , ,C,99, ,0,0, , ,0,33,0, ,0, , ,03/12/1975,1430,35.37,-83.15, , ,"","",26
10090984,CATAWBA CO., ,03/14/1975,30,Tornado,0,F1,0,0,2500,0,NC,CST, , ,C,35, ,0,0, , ,.1,20,0, ,0, , ,03/14/1975,30,35.60,-80.97, , ,"","",27
10090985,DUPLIN CO., ,03/14/1975,1130,Tornado,0,F2,0,0,250000,0,NC,CST, , ,C,61, ,0,0, , ,3.3,33,0, ,0, , ,03/14/1975,1130,34.97,-78.07,35.00,-78.03,"","",28
10090988,LENOIR CO., ,03/14/1975,1200,Tornado,0,F2,0,0,2500000,0,NC,CST, , ,C,107, ,0,0, , ,8,67,0, ,0, , ,03/14/1975,1200,35.18,-77.70,35.25,-77.58,"","",29
10090991,BEAUFORT CO., ,03/14/1975,1245,Tornado,0,F2,0,20,2500000,0,NC,CST, , ,C,13, ,0,0, , ,21.3,100,0, ,0, , ,03/14/1975,1245,35.50,-77.00,35.65,-76.67,"","",30
10090992,ALAMANCE CO., ,03/19/1975,650,Tornado,0,F1,0,1,25000,0,NC,CST, , ,C,1, ,0,0, , ,2,67,0, ,0, , ,03/19/1975,650,36.20,-79.28, , ,"","",31
10090994,DUPLIN CO., ,03/24/1975,930,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,61, ,0,0, , ,10.9,50,0, ,0, , ,03/24/1975,930,35.37,-81.92,35.32,-81.73,"","",32
10087605,DAVIDSON CO., ,03/24/1975,1150,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,57, ,0,0, , ,3,67,0, ,0, , ,03/24/1975,1150,35.87,-80.08,35.85,-80.03,"","",33
10087606,RANDOLPH CO., ,03/24/1975,1200,Tornado,0,F1,0,1,250000,0,NC,CST, , ,C,151, ,0,0, , ,4.1,67,0, ,0, , ,03/24/1975,1200,35.85,-80.03,35.83,-79.97,"","",34
10087609,UNION CO., ,03/24/1975,1215,Tornado,0,F2,0,1,250000,0,NC,CST, , ,C,179, ,0,0, , ,30.6,100,0, ,0, , ,03/24/1975,1215,34.98,-80.37,35.33,-80.03,"","",35
10087612,HOKE CO., ,03/24/1975,1230,Tornado,0,F1,0,0,250,0,NC,CST, , ,C,93, ,0,0, , ,11,33,0, ,0, , ,03/24/1975,1230,34.98,-79.27,35.03,-79.08,"","",36
10087639,CLEVELAND CO., ,05/15/1975,1430,Tornado,0,F1,0,0,2500,0,NC,CST, , ,C,45, ,0,0, , ,0,33,0, ,0, , ,05/15/1975,1430,35.17,-81.35, , ,"","",37
10087640,GASTON CO., ,05/15/1975,1530,Tornado,0,F1,0,1,25000,0,NC,CST, , ,C,71, ,0,0, , ,0,33,0, ,0, , ,05/15/1975,1530,35.37,-81.17, , ,"","",38
